chunk_size,chunk_overlap,event_id,user_id,k,mmr_lambda,faithfulness,relevancy
512,64,1,9,15,0.5,0.09444444444444443,0.7362703018208893
512,64,1,10,15,0.5,0.03888888888888888,0.6315715629101691
512,64,1,11,15,0.5,0.1222222222222222,0.716437612050372
512,64,1,1,20,0.5,0.0,0.5273602781854065
512,64,1,2,20,0.5,0.13412698412698415,0.7265034916239506
512,64,1,3,20,0.5,0.23809523809523808,0.38118761336450213
512,64,1,4,20,0.5,0.23809523809523808,0.23441577380003537
512,96,1,1,10,0.5,0.16666666666666666,0.5707087090429173
512,96,1,2,10,0.5,0.1,0.5711970524618943
512,96,1,3,10,0.5,0.2,0.5017300490216208
512,96,1,4,10,0.5,0.125,0.7425015803581563
512,96,1,5,10,0.5,0.06666666666666667,0.5768961204859914
512,96,1,7,10,0.5,0.275,0.667891900605354
512,96,1,8,10,0.5,0.15,0.49391084136395386
512,96,1,9,10,0.5,0.05,0.5929533638935172
512,96,1,10,10,0.5,0.09166666666666665,0.7078831511803851
512,96,1,11,10,0.5,0.03333333333333333,0.6305877005055167
512,96,1,1,15,0.5,0.05555555555555555,0.5748135717741257
512,96,1,2,15,0.5,0.14444444444444443,0.590182831311761
512,96,1,3,15,0.5,0.26666666666666666,0.4298348050184963
512,96,1,4,15,0.5,0.02222222222222222,0.5461107813116112
512,96,1,5,15,0.5,0.05555555555555555,0.6834220969811845
512,96,1,7,15,0.5,0.12777777777777774,0.39775387765083015
512,96,1,8,15,0.5,0.016666666666666666,0.6346356295456246
512,96,1,9,15,0.5,0.07666666666666666,0.5940751359411534
512,96,1,10,15,0.5,0.03333333333333333,0.6802914336327814
512,96,1,11,15,0.5,0.05555555555555555,0.5815349598015103
512,96,1,1,20,0.5,0.06349206349206349,0.5875533500878511
512,96,1,2,20,0.5,0.08333333333333333,0.6928549583867191
512,96,1,3,20,0.5,0.2698412698412698,0.23936218065249387
512,96,1,4,20,0.5,0.041666666666666664,0.7384008161056909
512,96,1,5,20,0.5,0.0625,0.43991121535792954
512,96,1,7,20,0.5,0.04916666666666667,0.40987474770001475
512,96,1,8,20,0.5,0.0,0.6350021099453561
512,96,1,9,20,0.5,0.051587301587301584,0.7453187392160115
512,96,1,10,20,0.5,0.0,0.6933710069008263
512,96,1,11,20,0.5,0.05333333333333333,0.6487861907573402
